183 W21_4952_VITNEMALFAG_VG.csv 19679465 14 1 w21_4952_lopenr_person 0 0 NA NA NA NA NA NA NA NA
183 W21_4952_VITNEMALFAG_VG.csv 19679465 14 2 w21_4952_lopenr_orgnr 0 0 NA NA NA NA NA NA NA NA
183 W21_4952_VITNEMALFAG_VG.csv 19679465 14 3 fagkode 0 0 NA NA NA NA NA NA NA NA
183 W21_4952_VITNEMALFAG_VG.csv 19679465 14 4 omfang 0 0 NA 982 NA 168 8527.56 92.34 NA NA
183 W21_4952_VITNEMALFAG_VG.csv 19679465 14 5 standkar 0 0 NA NA NA 4 1.1 1.05 NA NA
183 W21_4952_VITNEMALFAG_VG.csv 19679465 14 6 ekskar 0 0 NA NA NA NA 1.43 1.2 NA NA
183 W21_4952_VITNEMALFAG_VG.csv 19679465 14 7 pform 0 0 NA NA NA NA NA NA NA NA
183 W21_4952_VITNEMALFAG_VG.csv 19679465 14 8 snittkar 19679465 100 Inf -Inf NaN NA NA NA NaN NaN
183 W21_4952_VITNEMALFAG_VG.csv 19679465 14 9 eksmd 19679465 100 Inf -Inf NaN NA NA NA NaN NaN
183 W21_4952_VITNEMALFAG_VG.csv 19679465 14 10 eksar 589279 2.99 1978 2020 2010.45 2011 30.66 5.54 -0.24 -0.93
183 W21_4952_VITNEMALFAG_VG.csv 19679465 14 11 fordypf 0 0 NA NA NA NA NA NA NA NA
183 W21_4952_VITNEMALFAG_VG.csv 19679465 14 12 fagt 19679465 100 Inf -Inf NaN NA NA NA NaN NaN
183 W21_4952_VITNEMALFAG_VG.csv 19679465 14 13 privat 19679465 100 Inf -Inf NaN NA NA NA NaN NaN
183 W21_4952_VITNEMALFAG_VG.csv 19679465 14 14 lopenr_vitnr 0 0 NA NA NA NA NA NA NA NA
