1 w21_4952_lopenr_person 0 0 NA NA NA NA NA NA NA NA
2 w21_4952_lopenr_virksomhet 0 0 NA NA NA NA NA NA NA NA
3 w21_4952_lopenr_foretak 0 0 NA NA NA NA NA NA NA NA
4 arb_arbkomm 1325187 33.07 0 2599 902.48 826 345321.68 587.64 0.33 -1.15
5 arb_arbmark_status 0 0 0 4 0.75 1 0.36 0.6 0.63 2.2
6 arb_arbtid 1333839 33.29 1 3 2.41 3 0.75 0.86 -0.9 -1.05
7 arb_arbtim 1333391 33.28 1 60 30.18 37.5 128.49 11.34 -0.84 -0.61
8 arb_hovedarbeid 0 0 0 2 0.71 1 0.29 0.53 -0.11 -0.59
9 arb_yrke 0 0 NA 9999999 NA 21434 6877077260029.21 2622418.21 NA NA
10 arb_yrke_imp 0 0 NA NA NA 1317 4931901.75 2220.79 NA NA
11 frtk_org_form 0 0 NA NA NA NA NA NA NA NA
12 frtk_sektor_1987 1338969 33.42 110 900 619.31 710 36384.12 190.75 -1.84 2.32
13 pers_alder 0 0 15 111 45.58 44 361.44 19.01 0.36 -0.67
14 pers_kjoenn 0 0 1 2 1.51 2 0.25 0.5 -0.03 -2
15 pers_kommnr 0 0 0 9999 917.95 901 349708.37 591.36 0.34 -0.87
16 pers_persontype 0 0 2 13 12.03 12 0.69 0.83 -10.47 125.6
17 pers_tiltak 3876125 96.74 0 7 4.41 6 9.34 3.06 -0.6 -1.48
18 virk_nace1_sn02 1345873 33.59 0 99 61.63 66.01 547.14 23.39 -0.83 -0.08
19 virk_kilde_nace1 0 0 NA 4 NA 1 1.35 1.16 NA NA
